PaymentDate,OrderNumber,CustomerType,CustomerName,BranchSubCounty,BranchCounty,ProductName,ProductCategoryName,QuantityOrdered,CostOfProductionPerUnit,SellingPricePerUnit,ProfitPerUnit,PercentageProfitPerUnit
05-07-25,4312,Business,[Business] Hilton Manor,Ruaraka,Nairobi,Kuku na Matoke,Meat-Based Dishes,6,100,200,100,100
05-07-25,4456,Individual,Kamau Odhiambo,Kibra,Nairobi,Kuku na Sukuma,Meat-Based Dishes,5,100,200,100,100
05-07-25,4456,Individual,Kamau Odhiambo,Kibra,Nairobi,Kuku Choma,Meat-Based Dishes,6,150,300,150,100
05-07-25,4490,Individual,Marie Mohammed,Kangemi,Nairobi,Supu ya Nyama,Soup/Stew Dishes,2,70,150,80,114.29
05-07-25,4988,Business,[Business] Voyager Retreat,Nyali,Mombasa,Matoke na Maharagwe,Soup/Stew Dishes,1,30,70,40,133.33
05-07-25,5018,Business,[Business] Severin Residences,Kangemi,Nairobi,Injera,African Cultural Specials,1,10,20,10,100
05-07-25,5075,Business,[Business] PrideInn Lodge,Kamukunji,Nairobi,Ugali na Sukuma,Staple Foods,4,20,50,30,150
05-07-25,5075,Business,[Business] PrideInn Lodge,Kamukunji,Nairobi,Nyama na Matoke,Meat-Based Dishes,6,100,200,100,100
05-07-25,5075,Business,[Business] PrideInn Lodge,Kamukunji,Nairobi,Githeri,Legume-Based Dishes,4,30,70,40,133.33
05-07-25,5343,Business,[Business] Voyager Haven,Westlands,Nairobi,Egusi Soup,Combination Plates,3,40,80,40,100
05-07-25,5343,Business,[Business] Voyager Haven,Westlands,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,5,30,70,40,133.33
06-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Kachumbari,Vegetable-Based Dishes,7,10,30,20,200
06-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Wali wa Pilau,Rice Dishes,1,30,70,40,133.33
06-07-25,32,Business,[Business] Boma Suites,Nyeri Central,Nyeri,Nyama Stew,Meat-Based Dishes,3,100,200,100,100
06-07-25,217,Business,[Business] Hilton Resort,Embakasi,Nairobi,Kitfo,African Cultural Specials,2,200,400,200,100
06-07-25,217,Business,[Business] Hilton Resort,Embakasi,Nairobi,Firfir,African Cultural Specials,3,30,70,40,133.33
06-07-25,217,Business,[Business] Hilton Resort,Embakasi,Nairobi,Vetkoek,Sweet Snacks/Desserts,3,20,50,30,150
06-07-25,1378,Individual,Jeanne Munywe,Starehe,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,6,30,70,40,133.33
06-07-25,1378,Individual,Jeanne Munywe,Starehe,Nairobi,Potjiekos,Combination Plates,7,50,100,50,100
06-07-25,1721,Individual,Alaine Hassan,Kesses,Uasin Gishu,Supu ya Nyama na Wali,Soup/Stew Dishes,6,70,150,80,114.29
06-07-25,1721,Individual,Alaine Hassan,Kesses,Uasin Gishu,Chapati,Staple Foods,7,5,20,15,300
06-07-25,2285,Business,[Business] Leopard Beach Suites,Nyali,Mombasa,Matoke na Wali,Soup/Stew Dishes,3,30,70,40,133.33
06-07-25,2285,Business,[Business] Leopard Beach Suites,Nyali,Mombasa,Viazi Karai,Fried Dishes,5,10,30,20,200
06-07-25,2535,Business,[Business] PrideInn Lodge,Mathare,Nairobi,Wali wa Nazi na Maharagwe,Rice Dishes,2,30,70,40,133.33
06-07-25,2535,Business,[Business] PrideInn Lodge,Mathare,Nairobi,Githeri,Legume-Based Dishes,1,30,70,40,133.33
06-07-25,3065,Business,[Business] Voyager Retreat,Starehe,Nairobi,Mishkaki,Meat-Based Dishes,8,100,200,100,100
06-07-25,3113,Business,[Business] Ole Sereni Residences,Kisumu Central,Kisumu,Chakalaka,Combination Plates,6,20,50,30,150
06-07-25,3113,Business,[Business] Ole Sereni Residences,Kisumu Central,Kisumu,Chechebsa,African Cultural Specials,5,20,50,30,150
06-07-25,3113,Business,[Business] Ole Sereni Residences,Kisumu Central,Kisumu,Supu ya Nyama,Soup/Stew Dishes,2,70,150,80,114.29
06-07-25,3118,Individual,Wanjiku Odhiambo,Starehe,Nairobi,Kuku na Chapati,Meat-Based Dishes,3,100,200,100,100
06-07-25,3175,Business,[Business] Severin Retreat,Roy Sambu,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,8,30,60,30,100
06-07-25,3318,Individual,Alaine Hassan,Embakasi,Nairobi,Egusi Soup,Combination Plates,3,40,80,40,100
06-07-25,3413,Business,[Business] PrideInn Residences,Nyeri Central,Nyeri,Samosa,Fried Dishes,5,20,50,30,150
06-07-25,3413,Business,[Business] PrideInn Residences,Nyeri Central,Nyeri,Egusi Soup,Combination Plates,5,40,80,40,100
06-07-25,3545,Individual,Michel Mbeki,Mathare,Nairobi,Supu ya Kuku,Soup/Stew Dishes,3,70,150,80,114.29
06-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Githeri,Legume-Based Dishes,3,30,70,40,133.33
06-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Fish Curry,Fish Dishes,6,150,300,150,100
06-07-25,3937,Business,[Business] InterContinental Hotel,Kamukunji,Nairobi,Kuku na Wali,Meat-Based Dishes,5,100,200,100,100
06-07-25,4089,Individual,Joseph Munyuli,Kibra,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,1,30,70,40,133.33
06-07-25,4436,Individual,Pierre Abdullahi,Ruaraka,Nairobi,Gomen,African Cultural Specials,3,20,50,30,150
06-07-25,4436,Individual,Pierre Abdullahi,Ruaraka,Nairobi,Banku,Combination Plates,3,30,70,40,133.33
06-07-25,4436,Individual,Pierre Abdullahi,Ruaraka,Nairobi,Sukuma Wiki,Vegetable-Based Dishes,7,10,20,10,100
06-07-25,4474,Individual,Jean Munzala,Roy Sambu,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,8,30,60,30,100
06-07-25,4474,Individual,Jean Munzala,Roy Sambu,Nairobi,Kuku Choma,Meat-Based Dishes,3,150,300,150,100
06-07-25,4528,Individual,Pierrette Hassan,Kesses,Uasin Gishu,Nyama na Matoke,Meat-Based Dishes,2,100,200,100,100
06-07-25,4646,Individual,Kiptoo Munyui,Mathare,Nairobi,Malva Pudding,Sweet Snacks/Desserts,5,30,70,40,133.33
06-07-25,4682,Individual,Otieno Njoroge,Kasarani,Nairobi,Misir Wat,African Cultural Specials,6,30,60,30,100
06-07-25,4846,Business,[Business] Safari Retreat,Kisumu Central,Kisumu,Waakye,Combination Plates,3,30,70,40,133.33
06-07-25,4846,Business,[Business] Safari Retreat,Kisumu Central,Kisumu,Kuku na Sukuma,Meat-Based Dishes,6,100,200,100,100
06-07-25,4846,Business,[Business] Safari Retreat,Kisumu Central,Kisumu,Kuku na Matoke,Meat-Based Dishes,3,100,200,100,100
06-07-25,5167,Business,[Business] Diani Inn,Nyali,Mombasa,Matoke na Maharagwe,Soup/Stew Dishes,6,30,70,40,133.33
06-07-25,5315,Business,[Business] Swahili Manor,Kesses,Uasin Gishu,Supu ya Nyama na Wali,Soup/Stew Dishes,6,70,150,80,114.29
06-07-25,5315,Business,[Business] Swahili Manor,Kesses,Uasin Gishu,Kuku na Wali,Meat-Based Dishes,3,100,200,100,100
06-07-25,5315,Business,[Business] Swahili Manor,Kesses,Uasin Gishu,Wali wa Nazi na Samaki,Rice Dishes,2,30,70,40,133.33
06-07-25,5403,Business,[Business] Neptune Palace,Githurai,Nairobi,Kaimati,Sweet Snacks/Desserts,8,5,20,15,300
06-07-25,5403,Business,[Business] Neptune Palace,Githurai,Nairobi,Supu ya Nyama na Wali,Soup/Stew Dishes,2,70,150,80,114.29
06-07-25,5403,Business,[Business] Neptune Palace,Githurai,Nairobi,Akara,Combination Plates,7,20,50,30,150
07-07-25,43,Business,[Business] Sarova Residences,Kibra,Nairobi,Nyama na Maharagwe,Meat-Based Dishes,4,100,200,100,100
07-07-25,464,Individual,Pauline Munyao,Nyali,Mombasa,Wali wa Pilau,Rice Dishes,4,30,70,40,133.33
07-07-25,464,Individual,Pauline Munyao,Nyali,Mombasa,Bunny Chow,Combination Plates,4,40,80,40,100
07-07-25,650,Individual,Wambui Mugabe,Dagoretti,Nairobi,Sosaties,Combination Plates,3,50,100,50,100
07-07-25,650,Individual,Wambui Mugabe,Dagoretti,Nairobi,Akara,Combination Plates,2,20,50,30,150
07-07-25,650,Individual,Wambui Mugabe,Dagoretti,Nairobi,Supu ya Kuku,Soup/Stew Dishes,3,70,150,80,114.29
07-07-25,676,Business,[Business] Voyager Manor,Kangemi,Nairobi,Mandazi,Sweet Snacks/Desserts,5,5,20,15,300
07-07-25,676,Business,[Business] Voyager Manor,Kangemi,Nairobi,Fufu,Combination Plates,7,20,50,30,150
07-07-25,793,Individual,Kamau Osman,Dagoretti,Nairobi,Pilau,Rice Dishes,5,100,200,100,100
07-07-25,807,Individual,Jacqueline Mbeki,Kamukunji,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
07-07-25,807,Individual,Jacqueline Mbeki,Kamukunji,Nairobi,Matoke na Sukuma,Soup/Stew Dishes,6,30,70,40,133.33
07-07-25,1056,Business,[Business] Hilton Palace,Makadara,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,4,30,70,40,133.33
07-07-25,1056,Business,[Business] Hilton Palace,Makadara,Nairobi,Kuku na Matoke,Meat-Based Dishes,3,100,200,100,100
07-07-25,1056,Business,[Business] Hilton Palace,Makadara,Nairobi,Waakye,Combination Plates,1,30,70,40,133.33
07-07-25,1593,Business,[Business] Serena Manor,Ruaraka,Nairobi,Matoke na Wali,Soup/Stew Dishes,3,30,70,40,133.33
07-07-25,1593,Business,[Business] Serena Manor,Ruaraka,Nairobi,Mahamri,Sweet Snacks/Desserts,5,5,20,15,300
07-07-25,2019,Individual,Felix Abdi,Roy Sambu,Nairobi,Mahamri,Sweet Snacks/Desserts,7,5,20,15,300
07-07-25,2019,Individual,Felix Abdi,Roy Sambu,Nairobi,Ndizi na Nyama,Soup/Stew Dishes,6,30,70,40,133.33
07-07-25,2050,Business,[Business] Neptune Manor,Ruaraka,Nairobi,Nyama na Chapati,Meat-Based Dishes,4,100,200,100,100
07-07-25,2317,Individual,Alain Abdi,Githurai,Nairobi,Banga Soup,Combination Plates,1,50,100,50,100
07-07-25,2317,Individual,Alain Abdi,Githurai,Nairobi,Atayef,Sweet Snacks/Desserts,4,10,30,20,200
07-07-25,2549,Business,[Business] Severin Manor,Kangemi,Nairobi,Matoke,Soup/Stew Dishes,1,30,60,30,100
07-07-25,2587,Individual,Emmanuelle Mugisha,Roy Sambu,Nairobi,Mahamri,Sweet Snacks/Desserts,3,5,20,15,300
07-07-25,2717,Business,[Business] Diani Palace,Nyeri Central,Nyeri,Ugali,Staple Foods,5,10,20,10,100
07-07-25,2717,Business,[Business] Diani Palace,Nyeri Central,Nyeri,Kuku na Maharagwe,Meat-Based Dishes,3,100,200,100,100
07-07-25,2717,Business,[Business] Diani Palace,Nyeri Central,Nyeri,Wali wa Nazi na Kuku,Rice Dishes,7,30,70,40,133.33
07-07-25,2842,Individual,Jean Abdi,Westlands,Nairobi,Supu ya Nyama,Soup/Stew Dishes,4,70,150,80,114.29
07-07-25,3070,Business,[Business] Voyager Lodge,Kisumu Central,Kisumu,Nyama na Chapati,Meat-Based Dishes,7,100,200,100,100
07-07-25,3070,Business,[Business] Voyager Lodge,Kisumu Central,Kisumu,Bobotie,Combination Plates,1,50,100,50,100
07-07-25,3312,Individual,Alain Mandela,Kamukunji,Nairobi,Akara,Combination Plates,8,20,50,30,150
07-07-25,3312,Individual,Alain Mandela,Kamukunji,Nairobi,Fufu,Combination Plates,1,20,50,30,150
07-07-25,3360,Individual,Marie Wanyama,Kisumu Central,Kisumu,Wali wa Nazi na Samaki,Rice Dishes,5,30,70,40,133.33
07-07-25,3360,Individual,Marie Wanyama,Kisumu Central,Kisumu,Mutura,Meat-Based Dishes,6,70,150,80,114.29
07-07-25,3360,Individual,Marie Wanyama,Kisumu Central,Kisumu,Sukuma Wiki,Vegetable-Based Dishes,3,10,20,10,100
07-07-25,3450,Individual,Pierre Munywe,Kamukunji,Nairobi,Wali wa Nazi,Rice Dishes,5,30,70,40,133.33
07-07-25,3450,Individual,Pierre Munywe,Kamukunji,Nairobi,Ndizi na Nyama,Soup/Stew Dishes,8,30,70,40,133.33
07-07-25,3450,Individual,Pierre Munywe,Kamukunji,Nairobi,Bunny Chow,Combination Plates,8,40,80,40,100
07-07-25,3505,Business,[Business] Hemingways Hotel,Roy Sambu,Nairobi,Kuku na Wali,Meat-Based Dishes,6,100,200,100,100
07-07-25,3505,Business,[Business] Hemingways Hotel,Roy Sambu,Nairobi,Mutura,Meat-Based Dishes,4,70,150,80,114.29
07-07-25,3505,Business,[Business] Hemingways Hotel,Roy Sambu,Nairobi,Malva Pudding,Sweet Snacks/Desserts,8,30,70,40,133.33
07-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Mbaazi,Legume-Based Dishes,5,30,60,30,100
07-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Kuku na Chapati,Meat-Based Dishes,2,100,200,100,100
07-07-25,3621,Individual,Felicite Omondi,Kisumu Central,Kisumu,Kuku na Sukuma,Meat-Based Dishes,1,100,200,100,100
07-07-25,3752,Individual,Pierrette Osman,Nyeri Central,Nyeri,Bobotie,Combination Plates,4,50,100,50,100
07-07-25,3752,Individual,Pierrette Osman,Nyeri Central,Nyeri,Fish Curry,Fish Dishes,2,150,300,150,100
07-07-25,3916,Business,[Business] Voyager Haven,Starehe,Nairobi,Nyama na Wali,Meat-Based Dishes,7,100,200,100,100
07-07-25,3916,Business,[Business] Voyager Haven,Starehe,Nairobi,Supa ya Ndizi,Soup/Stew Dishes,5,30,70,40,133.33
07-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Firfir,African Cultural Specials,8,30,70,40,133.33
07-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Nyama Choma,Meat-Based Dishes,5,150,300,150,100
07-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Kuku na Maharagwe,Meat-Based Dishes,5,100,200,100,100
07-07-25,4018,Business,[Business] Ole Sereni Palace,Kasarani,Nairobi,Suya,Combination Plates,4,50,100,50,100
07-07-25,4138,Business,[Business] Safari Manor,Westlands,Nairobi,Maharagwe na Chapati,Legume-Based Dishes,3,30,60,30,100
07-07-25,4138,Business,[Business] Safari Manor,Westlands,Nairobi,Supu ya Nyama na Wali,Soup/Stew Dishes,6,70,150,80,114.29
07-07-25,4290,Business,[Business] Hemingways Manor,Ruaraka,Nairobi,Sukuma na Ugali,Vegetable-Based Dishes,8,20,50,30,150
07-07-25,4290,Business,[Business] Hemingways Manor,Ruaraka,Nairobi,Maharagwe na Wali,Legume-Based Dishes,3,30,60,30,100
07-07-25,4530,Business,[Business] Sarova Hotel,Kangemi,Nairobi,Wali wa Nazi na Kuku,Rice Dishes,4,30,70,40,133.33
07-07-25,4530,Business,[Business] Sarova Hotel,Kangemi,Nairobi,Supu ya Mbuzi,Soup/Stew Dishes,8,70,150,80,114.29
07-07-25,4531,Individual,Wanjiku Omondi,Mathare,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,1,30,60,30,100
07-07-25,4531,Individual,Wanjiku Omondi,Mathare,Nairobi,Banku,Combination Plates,2,30,70,40,133.33
07-07-25,4531,Individual,Wanjiku Omondi,Mathare,Nairobi,Samosa,Fried Dishes,3,20,50,30,150
07-07-25,4545,Business,[Business] Fairmont Inn,Mathare,Nairobi,Kelewele,Combination Plates,7,20,50,30,150
07-07-25,4545,Business,[Business] Fairmont Inn,Mathare,Nairobi,Mukimo,Legume-Based Dishes,8,40,80,40,100
07-07-25,4576,Individual,Emmanuel Mugabe,Makadara,Nairobi,Wali wa Nazi,Rice Dishes,7,30,70,40,133.33
07-07-25,4694,Individual,Claude Njoroge,Kangemi,Nairobi,Mishkaki,Meat-Based Dishes,2,100,200,100,100
07-07-25,4808,Business,[Business] Diani Lodge,Makadara,Nairobi,Fufu,Combination Plates,1,20,50,30,150
07-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Potjiekos,Combination Plates,4,50,100,50,100
07-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Nyama na Matoke,Meat-Based Dishes,6,100,200,100,100
07-07-25,4889,Business,[Business] Baobab Retreat,Kasarani,Nairobi,Misir Wat,African Cultural Specials,6,30,60,30,100
07-07-25,5055,Individual,Pierrette Adan,Kesses,Uasin Gishu,Mandazi,Sweet Snacks/Desserts,1,5,20,15,300
07-07-25,5055,Individual,Pierrette Adan,Kesses,Uasin Gishu,Nyama na Maharagwe,Meat-Based Dishes,8,100,200,100,100
07-07-25,5055,Individual,Pierrette Adan,Kesses,Uasin Gishu,Nyama na Matoke,Meat-Based Dishes,5,100,200,100,100
07-07-25,5265,Business,[Business] InterContinental Lodge,Kangemi,Nairobi,Maharagwe na Chapati,Legume-Based Dishes,3,30,60,30,100
07-07-25,5265,Business,[Business] InterContinental Lodge,Kangemi,Nairobi,Bhajia,Fried Dishes,4,20,50,30,150
08-07-25,43,Business,[Business] Sarova Residences,Kibra,Nairobi,Nyama na Maharagwe,Meat-Based Dishes,4,100,200,100,100
08-07-25,109,Business,[Business] Severin Suites,Kesses,Uasin Gishu,Kuku na Wali,Meat-Based Dishes,6,100,200,100,100
08-07-25,109,Business,[Business] Severin Suites,Kesses,Uasin Gishu,Nyama na Ugali,Meat-Based Dishes,4,100,200,100,100
08-07-25,201,Business,[Business] Swahili Manor,Kisumu Central,Kisumu,Boerewors,Combination Plates,7,50,100,50,100
08-07-25,577,Business,[Business] Severin Haven,Makadara,Nairobi,Misir Wat,African Cultural Specials,8,30,60,30,100
08-07-25,788,Individual,Amina Ochieng,Kasarani,Nairobi,Matoke na Maharagwe,Soup/Stew Dishes,2,30,70,40,133.33
08-07-25,788,Individual,Amina Ochieng,Kasarani,Nairobi,Chakalaka,Combination Plates,3,20,50,30,150
08-07-25,1585,Business,[Business] Safari Haven,Westlands,Nairobi,Injera,African Cultural Specials,1,10,20,10,100
08-07-25,1585,Business,[Business] Safari Haven,Westlands,Nairobi,Maharagwe,Legume-Based Dishes,4,30,60,30,100
08-07-25,1758,Business,[Business] Nyali Residences,Kasarani,Nairobi,Mbuzi Choma,Meat-Based Dishes,5,200,350,150,75
08-07-25,1758,Business,[Business] Nyali Residences,Kasarani,Nairobi,Mbuzi Choma,Meat-Based Dishes,5,200,350,150,75
08-07-25,1758,Business,[Business] Nyali Residences,Kasarani,Nairobi,Matoke,Soup/Stew Dishes,5,30,60,30,100
08-07-25,1758,Business,[Business] Nyali Residences,Kasarani,Nairobi,Matoke,Soup/Stew Dishes,5,30,60,30,100
08-07-25,2580,Business,[Business] Diani Haven,Kangemi,Nairobi,Shiro,African Cultural Specials,5,30,70,40,133.33
08-07-25,2584,Individual,Kamau Mwangi,Githurai,Nairobi,Chapati,Staple Foods,6,5,20,15,300
08-07-25,2584,Individual,Kamau Mwangi,Githurai,Nairobi,Nyama na Maharagwe,Meat-Based Dishes,4,100,200,100,100
08-07-25,2944,Individual,Wanjiku Mohammed,Dagoretti,Nairobi,Boerewors,Combination Plates,3,50,100,50,100
08-07-25,2944,Individual,Wanjiku Mohammed,Dagoretti,Nairobi,Banga Soup,Combination Plates,5,50,100,50,100
08-07-25,3086,Business,[Business] Nyali Retreat,Kamukunji,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,8,30,70,40,133.33
08-07-25,3178,Individual,Claudine Malema,Kangemi,Nairobi,Wali wa Nazi na Nyama,Rice Dishes,6,30,70,40,133.33
08-07-25,3178,Individual,Claudine Malema,Kangemi,Nairobi,Wali wa Nazi,Rice Dishes,2,30,70,40,133.33
08-07-25,3201,Business,[Business] PrideInn Residences,Westlands,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,8,30,60,30,100
08-07-25,3201,Business,[Business] PrideInn Residences,Westlands,Nairobi,Maharagwe na Sukuma,Legume-Based Dishes,2,30,60,30,100
08-07-25,3266,Business,[Business] PrideInn Lodge,Kamukunji,Nairobi,Kaimati,Sweet Snacks/Desserts,2,5,20,15,300
08-07-25,3266,Business,[Business] PrideInn Lodge,Kamukunji,Nairobi,Sukuma na Ugali,Vegetable-Based Dishes,4,20,50,30,150
08-07-25,3304,Business,[Business] Voyager Manor,Kibra,Nairobi,Kuku na Wali,Meat-Based Dishes,5,100,200,100,100
08-07-25,3304,Business,[Business] Voyager Manor,Kibra,Nairobi,Nyama na Wali,Meat-Based Dishes,4,100,200,100,100
08-07-25,3304,Business,[Business] Voyager Manor,Kibra,Nairobi,Tilapia Fry,Fish Dishes,6,200,350,150,75
08-07-25,3623,Business,[Business] PrideInn Lodge,Makadara,Nairobi,Kuku Choma,Meat-Based Dishes,8,150,300,150,100
08-07-25,3623,Business,[Business] PrideInn Lodge,Makadara,Nairobi,Maharagwe na Matoke,Legume-Based Dishes,1,30,60,30,100
08-07-25,3631,Business,[Business] Hemingways Manor,Roy Sambu,Nairobi,Nyama Choma,Meat-Based Dishes,6,150,300,150,100
08-07-25,3631,Business,[Business] Hemingways Manor,Roy Sambu,Nairobi,Matoke na Nyama,Soup/Stew Dishes,1,30,70,40,133.33
08-07-25,3631,Business,[Business] Hemingways Manor,Roy Sambu,Nairobi,Supu ya Kuku,Soup/Stew Dishes,8,70,150,80,114.29
08-07-25,3653,Business,[Business] Neptune Manor,Kesses,Uasin Gishu,Mishkaki,Meat-Based Dishes,5,100,200,100,100
08-07-25,3702,Individual,Felix Mbeki,Nyali,Mombasa,Nyama na Ugali,Meat-Based Dishes,1,100,200,100,100
08-07-25,3719,Business,[Business] Boma Hotel,Mathare,Nairobi,Bunny Chow,Combination Plates,3,40,80,40,100
08-07-25,3719,Business,[Business] Boma Hotel,Mathare,Nairobi,Pap,Combination Plates,8,10,30,20,200
08-07-25,3719,Business,[Business] Boma Hotel,Mathare,Nairobi,Maharagwe ya Nazi,Legume-Based Dishes,5,30,60,30,100
08-07-25,3725,Business,[Business] Neptune Palace,Kasarani,Nairobi,Nyama na Sukuma,Meat-Based Dishes,1,100,200,100,100
08-07-25,3725,Business,[Business] Neptune Palace,Kasarani,Nairobi,Wali wa Nazi,Rice Dishes,6,30,70,40,133.33
08-07-25,3725,Business,[Business] Neptune Palace,Kasarani,Nairobi,Fufu,Combination Plates,8,20,50,30,150
08-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Firfir,African Cultural Specials,8,30,70,40,133.33
08-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Kuku na Maharagwe,Meat-Based Dishes,5,100,200,100,100
08-07-25,4010,Individual,Achieng Hassan,Dagoretti,Nairobi,Nyama Choma,Meat-Based Dishes,5,150,300,150,100
08-07-25,4011,Individual,Claudine Nkurunziza,Kisumu Central,Kisumu,Doro Wat,African Cultural Specials,7,150,300,150,100
08-07-25,4011,Individual,Claudine Nkurunziza,Kisumu Central,Kisumu,Kuku na Sukuma,Meat-Based Dishes,8,100,200,100,100
08-07-25,4011,Individual,Claudine Nkurunziza,Kisumu Central,Kisumu,Waakye,Combination Plates,6,30,70,40,133.33
08-07-25,4556,Business,[Business] Ole Sereni Palace,Dagoretti,Nairobi,Suya,Combination Plates,1,50,100,50,100
08-07-25,5121,Business,[Business] Sarova Inn,Ruaraka,Nairobi,Wali wa Nazi na Samaki,Rice Dishes,3,30,70,40,133.33
09-07-25,343,Individual,Emmanuelle Munyua,Githurai,Nairobi,Nyama na Wali,Meat-Based Dishes,6,100,200,100,100
09-07-25,411,Individual,Wambui Munyua,Kamukunji,Nairobi,Gomen,African Cultural Specials,1,20,50,30,150
09-07-25,411,Individual,Wambui Munyua,Kamukunji,Nairobi,Supu ya Mbuzi,Soup/Stew Dishes,3,70,150,80,114.29
09-07-25,411,Individual,Wambui Munyua,Kamukunji,Nairobi,Firfir,African Cultural Specials,1,30,70,40,133.33
09-07-25,443,Individual,Pierrette Odhiambo,Kasarani,Nairobi,Kachumbari,Vegetable-Based Dishes,8,10,30,20,200
09-07-25,535,Individual,Marie Mbeki,Kibra,Nairobi,Vetkoek,Sweet Snacks/Desserts,2,20,50,30,150
09-07-25,535,Individual,Marie Mbeki,Kibra,Nairobi,Kachumbari,Vegetable-Based Dishes,6,10,30,20,200
09-07-25,535,Individual,Marie Mbeki,Kibra,Nairobi,Matoke na Wali,Soup/Stew Dishes,1,30,70,40,133.33
09-07-25,746,Business,[Business] Serena Resort,Nakuru Town East,Nakuru,Doro Wat,African Cultural Specials,1,150,300,150,100
09-07-25,1082,Business,[Business] Boma Inn,Kasarani,Nairobi,Boerewors,Combination Plates,6,50,100,50,100
09-07-25,1107,Business,[Business] Baobab Suites,Kasarani,Nairobi,Mutura,Meat-Based Dishes,5,70,150,80,114.29
09-07-25,1202,Business,[Business] Serena Inn,Kibra,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
09-07-25,1401,Business,[Business] Ole Sereni Inn,Makadara,Nairobi,Viazi Karai,Fried Dishes,6,10,30,20,200
09-07-25,1826,Business,[Business] Hemingways Residences,Mathare,Nairobi,Supu ya Mbuzi,Soup/Stew Dishes,7,70,150,80,114.29
09-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Nyama na Matoke,Meat-Based Dishes,7,100,200,100,100
09-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Mbaazi,Legume-Based Dishes,7,30,60,30,100
09-07-25,1899,Business,[Business] Tamarind Manor,Langata,Nairobi,Nyama Choma,Meat-Based Dishes,6,150,300,150,100
09-07-25,2106,Business,[Business] Hilton Lodge,Westlands,Nairobi,Mutura,Meat-Based Dishes,1,70,150,80,114.29
09-07-25,2106,Business,[Business] Hilton Lodge,Westlands,Nairobi,Kuku na Maharagwe,Meat-Based Dishes,1,100,200,100,100
09-07-25,2292,Individual,Jean Kiplagat,Langata,Nairobi,Supu ya Samaki,Fish Dishes,4,70,150,80,114.29
09-07-25,2316,Business,[Business] Nyali Retreat,Roy Sambu,Nairobi,Matoke,Soup/Stew Dishes,8,30,60,30,100
09-07-25,2316,Business,[Business] Nyali Retreat,Roy Sambu,Nairobi,Ndengu,Legume-Based Dishes,7,30,60,30,100
09-07-25,2316,Business,[Business] Nyali Retreat,Roy Sambu,Nairobi,Uji,Staple Foods,1,10,30,20,200
09-07-25,2404,Individual,Njeri Mwangi,Nyali,Mombasa,Supu ya Nyama,Soup/Stew Dishes,1,70,150,80,114.29
09-07-25,2404,Individual,Njeri Mwangi,Nyali,Mombasa,Wali wa Nazi,Rice Dishes,7,30,70,40,133.33
09-07-25,2949,Business,[Business] Villa Rosa Resort,Githurai,Nairobi,Mukimo,Legume-Based Dishes,2,40,80,40,100
09-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Banga Soup,Combination Plates,7,50,100,50,100
09-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Matoke na Maharagwe,Soup/Stew Dishes,1,30,70,40,133.33
09-07-25,3100,Business,[Business] Baobab Palace,Kamukunji,Nairobi,Maharagwe na Wali,Legume-Based Dishes,6,30,60,30,100
09-07-25,3202,Business,[Business] Sarova Residences,Kamukunji,Nairobi,Maharagwe na Wali,Legume-Based Dishes,7,30,60,30,100
09-07-25,3202,Business,[Business] Sarova Residences,Kamukunji,Nairobi,Matoke na Maharagwe,Soup/Stew Dishes,5,30,70,40,133.33
09-07-25,3202,Business,[Business] Sarova Residences,Kamukunji,Nairobi,Githeri,Legume-Based Dishes,3,30,70,40,133.33
09-07-25,3453,Individual,Pauline Munee,Dagoretti,Nairobi,Mukimo,Legume-Based Dishes,4,40,80,40,100
